File,Line,Sentiment,SentimentScore
joebidencomprehend.csv,106,MIXED,"{'Mixed': 0.6976368427276611, 'Negative': 0.03001706302165985, 'Neutral': 0.2511914074420929, 'Positive': 0.02115468680858612}"
joebidencomprehend.csv,109,NEUTRAL,"{'Mixed': 2.4248634872492403e-05, 'Negative': 0.00046601248322986066, 'Neutral': 0.9941211342811584, 'Positive': 0.005388565361499786}"
joebidencomprehend.csv,113,NEGATIVE,"{'Mixed': 0.18624286353588104, 'Negative': 0.5167359709739685, 'Neutral': 0.2870173454284668, 'Positive': 0.010003850795328617}"
joebidencomprehend.csv,67,NEUTRAL,"{'Mixed': 0.00845708791166544, 'Negative': 0.0048453230410814285, 'Neutral': 0.9741135239601135, 'Positive': 0.012584127485752106}"
joebidencomprehend.csv,68,NEUTRAL,"{'Mixed': 0.10883447527885437, 'Negative': 0.19692815840244293, 'Neutral': 0.6889650225639343, 'Positive': 0.005272396840155125}"
joebidencomprehend.csv,69,NEUTRAL,"{'Mixed': 0.00845708791166544, 'Negative': 0.0048453230410814285, 'Neutral': 0.9741135239601135, 'Positive': 0.012584127485752106}"
joebidencomprehend.csv,75,NEUTRAL,"{'Mixed': 0.00845708791166544, 'Negative': 0.0048453230410814285, 'Neutral': 0.9741135239601135, 'Positive': 0.012584127485752106}"
joebidencomprehend.csv,77,NEUTRAL,"{'Mixed': 0.00845708791166544, 'Negative': 0.0048453230410814285, 'Neutral': 0.9741135239601135, 'Positive': 0.012584127485752106}"
joebidencomprehend.csv,82,NEUTRAL,"{'Mixed': 0.002117686439305544, 'Negative': 0.026858419179916382, 'Neutral': 0.9420377612113953, 'Positive': 0.02898613177239895}"
joebidencomprehend.csv,103,NEUTRAL,"{'Mixed': 0.0002922377025242895, 'Negative': 0.000932553899474442, 'Neutral': 0.9620816111564636, 'Positive': 0.03669359162449837}"
joebidencomprehend.csv,105,NEUTRAL,"{'Mixed': 0.00845708791166544, 'Negative': 0.0048453230410814285, 'Neutral': 0.9741135239601135, 'Positive': 0.012584127485752106}"
joebidencomprehend.csv,110,NEUTRAL,"{'Mixed': 0.00845708791166544, 'Negative': 0.0048453230410814285, 'Neutral': 0.9741135239601135, 'Positive': 0.012584127485752106}"
joebidencomprehend.csv,112,NEUTRAL,"{'Mixed': 0.00845708791166544, 'Negative': 0.0048453230410814285, 'Neutral': 0.9741135239601135, 'Positive': 0.012584127485752106}"
joebidencomprehend.csv,115,NEUTRAL,"{'Mixed': 0.00845708791166544, 'Negative': 0.0048453230410814285, 'Neutral': 0.9741135239601135, 'Positive': 0.012584127485752106}"
joebidencomprehend.csv,119,NEUTRAL,"{'Mixed': 0.0271676704287529, 'Negative': 0.2236175835132599, 'Neutral': 0.7429491877555847, 'Positive': 0.0062655736692249775}"
joebidencomprehend.csv,120,NEUTRAL,"{'Mixed': 0.0010088245617225766, 'Negative': 0.0004711824294645339, 'Neutral': 0.9809218049049377, 'Positive': 0.017598215490579605}"
joebidencomprehend.csv,121,NEUTRAL,"{'Mixed': 7.614268542965874e-05, 'Negative': 0.008090515621006489, 'Neutral': 0.9627752900123596, 'Positive': 0.029058124870061874}"
joebidencomprehend.csv,123,NEUTRAL,"{'Mixed': 0.10742416977882385, 'Negative': 0.2882831394672394, 'Neutral': 0.5697448253631592, 'Positive': 0.034547872841358185}"
joebidencomprehend.csv,126,NEUTRAL,"{'Mixed': 0.00845708791166544, 'Negative': 0.0048453230410814285, 'Neutral': 0.9741135239601135, 'Positive': 0.012584127485752106}"
joebidencomprehend.csv,128,NEUTRAL,"{'Mixed': 0.00845708791166544, 'Negative': 0.0048453230410814285, 'Neutral': 0.9741135239601135, 'Positive': 0.012584127485752106}"
joebidencomprehend.csv,129,NEUTRAL,"{'Mixed': 8.160951983882114e-05, 'Negative': 0.001590144238434732, 'Neutral': 0.9955638647079468, 'Positive': 0.0027644108049571514}"
joebidencomprehend.csv,133,NEUTRAL,"{'Mixed': 0.00845708791166544, 'Negative': 0.0048453230410814285, 'Neutral': 0.9741135239601135, 'Positive': 0.012584127485752106}"
joebidencomprehend.csv,134,NEGATIVE,"{'Mixed': 2.4847948225215077e-05, 'Negative': 0.9783753752708435, 'Neutral': 0.02127251774072647, 'Positive': 0.0003273097099736333}"
joebidencomprehend.csv,142,NEUTRAL,"{'Mixed': 0.00845708791166544, 'Negative': 0.0048453230410814285, 'Neutral': 0.9741135239601135, 'Positive': 0.012584127485752106}"
joebidencomprehend.csv,144,NEUTRAL,"{'Mixed': 0.00845708791166544, 'Negative': 0.0048453230410814285, 'Neutral': 0.9741135239601135, 'Positive': 0.012584127485752106}"
joebidencomprehend.csv,153,NEUTRAL,"{'Mixed': 0.00845708791166544, 'Negative': 0.0048453230410814285, 'Neutral': 0.9741135239601135, 'Positive': 0.012584127485752106}"
joebidencomprehend.csv,154,MIXED,"{'Mixed': 0.38519495725631714, 'Negative': 0.20060154795646667, 'Neutral': 0.3811321258544922, 'Positive': 0.033071376383304596}"
joebidencomprehend.csv,155,NEUTRAL,"{'Mixed': 0.00845708791166544, 'Negative': 0.0048453230410814285, 'Neutral': 0.9741135239601135, 'Positive': 0.012584127485752106}"
joebidencomprehend.csv,156,NEUTRAL,"{'Mixed': 0.0019490598933771253, 'Negative': 0.03532292693853378, 'Neutral': 0.9597869515419006, 'Positive': 0.0029410102870315313}"
joebidencomprehend.csv,157,NEUTRAL,"{'Mixed': 0.0002459433162584901, 'Negative': 0.00514232600107789, 'Neutral': 0.9813244938850403, 'Positive': 0.013287236914038658}"
joebidencomprehend.csv,158,NEUTRAL,"{'Mixed': 0.00845708791166544, 'Negative': 0.0048453230410814285, 'Neutral': 0.9741135239601135, 'Positive': 0.012584127485752106}"
joebidencomprehend.csv,159,NEUTRAL,"{'Mixed': 0.032129399478435516, 'Negative': 0.008608599193394184, 'Neutral': 0.6610426902770996, 'Positive': 0.2982192933559418}"
joebidencomprehend.csv,160,NEUTRAL,"{'Mixed': 0.00845708791166544, 'Negative': 0.0048453230410814285, 'Neutral': 0.9741135239601135, 'Positive': 0.012584127485752106}"
joebidencomprehend.csv,161,NEUTRAL,"{'Mixed': 0.0006339732790365815, 'Negative': 0.015721434727311134, 'Neutral': 0.982231855392456, 'Positive': 0.0014127899194136262}"
joebidencomprehend.csv,162,NEUTRAL,"{'Mixed': 0.0003843862796202302, 'Negative': 0.006107041146606207, 'Neutral': 0.987614631652832, 'Positive': 0.0058938805013895035}"
joebidencomprehend.csv,6,NEUTRAL,"{'Mixed': 0.08678325265645981, 'Negative': 0.008825276046991348, 'Neutral': 0.8926266431808472, 'Positive': 0.011764862574636936}"
joebidencomprehend.csv,7,NEGATIVE,"{'Mixed': 0.0023981742560863495, 'Negative': 0.6542437672615051, 'Neutral': 0.3404984474182129, 'Positive': 0.0028596133925020695}"
joebidencomprehend.csv,10,NEUTRAL,"{'Mixed': 0.0006773688946850598, 'Negative': 0.17410995066165924, 'Neutral': 0.8247491717338562, 'Positive': 0.00046350632328540087}"
joebidencomprehend.csv,11,MIXED,"{'Mixed': 0.7296370267868042, 'Negative': 0.04182259738445282, 'Neutral': 0.13537266850471497, 'Positive': 0.0931677371263504}"
joebidencomprehend.csv,12,NEUTRAL,"{'Mixed': 0.0001987641298910603, 'Negative': 0.06164402887225151, 'Neutral': 0.9369668364524841, 'Positive': 0.0011902701808139682}"
joebidencomprehend.csv,13,NEGATIVE,"{'Mixed': 0.01258082501590252, 'Negative': 0.5452890396118164, 'Neutral': 0.4402720332145691, 'Positive': 0.0018581243930384517}"
joebidencomprehend.csv,28,NEUTRAL,"{'Mixed': 0.0034364901948720217, 'Negative': 0.23609939217567444, 'Neutral': 0.6179170608520508, 'Positive': 0.14254707098007202}"
joebidencomprehend.csv,31,NEUTRAL,"{'Mixed': 0.0003308956802356988, 'Negative': 0.06799845397472382, 'Neutral': 0.930586576461792, 'Positive': 0.0010840586619451642}"
joebidencomprehend.csv,33,NEGATIVE,"{'Mixed': 0.007618174888193607, 'Negative': 0.7169182896614075, 'Neutral': 0.27272191643714905, 'Positive': 0.002741597592830658}"
joebidencomprehend.csv,36,NEUTRAL,"{'Mixed': 0.0003015180991496891, 'Negative': 0.21885555982589722, 'Neutral': 0.7754378318786621, 'Positive': 0.005405068397521973}"
joebidencomprehend.csv,41,NEUTRAL,"{'Mixed': 0.12197359651327133, 'Negative': 0.12637194991111755, 'Neutral': 0.5456652641296387, 'Positive': 0.20598916709423065}"
joebidencomprehend.csv,42,NEUTRAL,"{'Mixed': 0.09006384760141373, 'Negative': 0.010006184689700603, 'Neutral': 0.8870325088500977, 'Positive': 0.012897460721433163}"
joebidencomprehend.csv,51,NEUTRAL,"{'Mixed': 7.737731357337907e-05, 'Negative': 0.0006995130097493529, 'Neutral': 0.9969034790992737, 'Positive': 0.0023195846006274223}"
joebidencomprehend.csv,78,NEUTRAL,"{'Mixed': 0.0011307494714856148, 'Negative': 0.0013103625969961286, 'Neutral': 0.9952280521392822, 'Positive': 0.002330856630578637}"
joebidencomprehend.csv,84,NEUTRAL,"{'Mixed': 0.0059194802306592464, 'Negative': 0.44373205304145813, 'Neutral': 0.5433917045593262, 'Positive': 0.006956796161830425}"
joebidencomprehend.csv,85,NEUTRAL,"{'Mixed': 0.0013497861800715327, 'Negative': 0.02660095877945423, 'Neutral': 0.9644900560379028, 'Positive': 0.007559186778962612}"
joebidencomprehend.csv,88,NEGATIVE,"{'Mixed': 0.00042791268788278103, 'Negative': 0.7340662479400635, 'Neutral': 0.2631051242351532, 'Positive': 0.0024007607717067003}"
joebidencomprehend.csv,90,NEGATIVE,"{'Mixed': 0.007591404020786285, 'Negative': 0.75751793384552, 'Neutral': 0.231065034866333, 'Positive': 0.0038257346022874117}"
joebidencomprehend.csv,92,NEGATIVE,"{'Mixed': 0.0009589237160980701, 'Negative': 0.5232239365577698, 'Neutral': 0.47358494997024536, 'Positive': 0.002232176950201392}"
joebidencomprehend.csv,95,NEUTRAL,"{'Mixed': 0.009922093711793423, 'Negative': 0.1265781819820404, 'Neutral': 0.8617509603500366, 'Positive': 0.0017488099401816726}"
joebidencomprehend.csv,100,NEUTRAL,"{'Mixed': 0.00047462014481425285, 'Negative': 0.001811046153306961, 'Neutral': 0.9970154762268066, 'Positive': 0.0006989029934629798}"
joebidencomprehend.csv,101,NEGATIVE,"{'Mixed': 0.11874108016490936, 'Negative': 0.6574194431304932, 'Neutral': 0.22120480239391327, 'Positive': 0.002634680364280939}"
joebidencomprehend.csv,111,NEUTRAL,"{'Mixed': 0.06571050733327866, 'Negative': 0.4281463027000427, 'Neutral': 0.4632774889469147, 'Positive': 0.04286576062440872}"
joebidencomprehend.csv,114,NEUTRAL,"{'Mixed': 0.0012846533209085464, 'Negative': 0.05601927638053894, 'Neutral': 0.9023889899253845, 'Positive': 0.04030706733465195}"
joebidencomprehend.csv,118,NEUTRAL,"{'Mixed': 8.569170313421637e-05, 'Negative': 0.12021932005882263, 'Neutral': 0.8718522191047668, 'Positive': 0.007842816412448883}"
joebidencomprehend.csv,124,NEUTRAL,"{'Mixed': 0.1821853369474411, 'Negative': 0.28441697359085083, 'Neutral': 0.5298284292221069, 'Positive': 0.0035692546516656876}"
joebidencomprehend.csv,135,NEGATIVE,"{'Mixed': 0.0016467153327539563, 'Negative': 0.695952832698822, 'Neutral': 0.30163437128067017, 'Positive': 0.0007661136914975941}"
joebidencomprehend.csv,137,NEUTRAL,"{'Mixed': 0.006329364143311977, 'Negative': 0.42415887117385864, 'Neutral': 0.5680335164070129, 'Positive': 0.0014781581703573465}"
joebidencomprehend.csv,146,NEUTRAL,"{'Mixed': 0.1885603368282318, 'Negative': 0.3849952816963196, 'Neutral': 0.420071542263031, 'Positive': 0.006372809875756502}"
joebidencomprehend.csv,149,NEGATIVE,"{'Mixed': 0.0003450254735071212, 'Negative': 0.9573481678962708, 'Neutral': 0.042078908532857895, 'Positive': 0.00022788322530686855}"
joebidencomprehend.csv,189,NEUTRAL,"{'Mixed': 0.3041234612464905, 'Negative': 0.07497896254062653, 'Neutral': 0.5853095650672913, 'Positive': 0.03558805584907532}"
